YYYY,       Jan,       Feb,       Mar,       Apr,       May,       Jun,       Jul,       Aug,       Sep,       Oct,       Nov,       Dec
1989,    64.190,    36.400,    43.300,    33.320,    63.830,   100.240,    35.210,    92.850,    56.670,    55.870,    63.740,    57.770
1990,    49.700,    32.260,    37.680,    59.180,    57.220,   124.930,    76.830,    58.370,    92.690,   103.530,    44.300,    47.250
1991,    52.970,    21.100,    58.840,    65.570,    80.410,    79.370,   104.670,    48.200,   121.400,   101.620,   102.760,    43.240
1992,    41.600,    36.450,    22.360,    58.410,    66.000,    60.450,   114.240,    97.410,   130.910,    52.210,    63.460,    78.820
1993,    41.890,    10.030,    18.510,    73.680,   101.780,    80.140,   130.930,    76.820,    85.620,    72.320,    48.950,    36.680
1994,    48.470,    15.810,    34.380,    70.340,    70.040,    84.000,    95.620,    95.800,    77.220,    54.710,    58.080,    17.460
1995,    41.750,    46.130,    33.920,    45.750,    87.610,    38.300,   116.510,    82.150,   124.560,   140.780,    65.810,    61.110
1996,    90.420,    58.720,    33.110,    70.280,    48.120,    88.750,   126.990,    74.320,    88.340,   104.600,    72.210,    69.130
1997,    87.000,    20.320,    57.250,    27.280,    67.750,    85.940,    74.740,    54.910,    67.840,    73.560,    64.310,    28.370
1998,    42.290,    19.530,    64.650,    28.590,    51.700,    86.210,    68.160,    80.980,    86.210,    98.700,    74.840,    54.450
1999,    56.120,    54.840,    28.380,    39.530,   121.630,    84.330,   143.030,    86.830,   109.430,    91.820,    37.050,    41.170
2000,    52.370,    24.150,    55.370,    39.240,    72.090,   118.570,    60.270,    80.240,    56.690,    49.590,    60.040,    46.840
2001,    42.300,    52.770,    22.830,   147.520,    75.000,    72.830,    72.430,    83.540,    67.970,   105.610,    80.280,    45.250
2002,    23.800,    38.920,    60.100,    62.890,    65.970,    91.630,    74.080,    75.630,   104.050,   112.420,    34.820,    30.030
2003,    27.370,    25.430,    42.640,    72.630,    77.010,    50.230,   108.360,    72.180,   100.310,    58.950,    58.120,    40.410
2004,    48.850,    28.720,    59.810,    55.470,    96.220,    58.090,    72.710,    99.900,    71.150,   120.530,    35.210,    70.230
2005,    50.580,    33.830,    26.740,    32.580,    89.350,    87.020,    45.050,    49.510,    87.790,   123.110,    96.100,    47.920
2006,    40.880,    34.520,    47.280,    33.510,    94.750,    42.160,    90.940,    44.060,    78.970,    62.830,    33.260,    52.270
2007,    30.980,    24.170,    46.000,    64.680,    65.750,    82.570,    81.040,    51.460,   171.540,   156.110,    49.560,    63.030
2008,    46.720,    26.740,    30.260,    80.250,    82.260,   129.910,   102.950,    43.810,    90.700,    58.060,    59.150,    74.030
2009,    35.250,    37.220,    43.540,    73.010,    59.570,    70.170,    70.180,   106.160,    36.580,   102.660,    42.460,    60.280
2010,    30.720,    17.810,    10.910,    23.220,    44.670,   118.940,    88.640,    80.390,   158.230,    59.650,    66.960,    40.780
2011,    43.870,    22.710,    30.820,    80.930,    76.600,    95.770,    62.360,    76.400,    87.400,    59.260,    45.080,    39.930
2012,    52.000,    27.590,    54.600,    54.950,   111.030,   104.960,    87.950,    60.150,    62.150,   105.960,    57.150,    38.410
2013,    53.570,    44.790,    48.870,   100.920,   108.650,    85.470,   145.070,    91.950,    71.530,    87.600,    83.560,    61.710
2014,    45.990,    43.510,    39.910,    85.360,    73.660,   115.030,    94.540,    75.720,   105.460,   109.200,    84.210,    51.960
2015,    39.240,    28.390,    29.150,    51.710,   107.000,    91.300,    51.240,    76.630,    69.510,    68.920,   101.440,   113.990
2016,    53.200,    57.130,    63.210,    60.610,    63.490,   105.470,   115.760,    93.940,   141.640,    70.740,    83.160,    81.990
2017,    53.140,    63.590,    43.260,    94.570,    91.080,   131.240,    80.940,   132.000,    88.650,   152.410,    58.000,    71.350
2018,    47.900,    43.180,    13.040,    46.470,    56.830,    75.370,    79.680,    81.690,   124.440,   164.350,    80.960,    48.060
2019,    59.680,    97.740,    38.690,   110.190,    89.740,    90.070,    85.420,    83.170,   130.650,   136.050,    78.340,    95.050
2020,    61.870,    29.110,    66.890,    59.770,    46.240,    70.150,   113.270,   104.540,    73.910,   101.070,    57.890,    42.060
